,P1_STATE_mean,P1_STATE_min,P1_STATE_max,P1_STATE_std,LIT101.Pv_mean,LIT101.Pv_min,LIT101.Pv_max,LIT101.Pv_std,FIT101.Pv_mean,FIT101.Pv_min,FIT101.Pv_max,FIT101.Pv_std,MV101.Status_mean,MV101.Status_min,MV101.Status_max,MV101.Status_std
2024-01-01,2.2430555555555554,2,3,0.42907738793089956,791.3685322881945,694.3813,816.967650999999,45.391082845973195,0.0,0.0,0.0,0.0,1.0,1,1,0.0
2024-01-02,2.0,2,2,0.0,815.5016470840277,814.22,816.8499,0.5117090974010983,0.0,0.0,0.0,0.0,1.0,1,1,0.0
2024-01-03,1.9638888888888888,1,2,0.186631420611034,815.506361101389,813.9452,816.771362,0.47880633231345865,0.0,0.0,0.0,0.0,1.0,1,1,0.0
2024-01-04,2.0,2,2,0.0,657.7390307180556,494.074463,816.771362,104.94201927575962,1.5049257696819445,0.0,4.38458824,2.0647807026397635,1.3430555555555554,0,2,0.485029931486187
2024-01-05,2.0,2,2,0.0,750.9398258756943,682.762450999999,807.8218,20.40578339849274,0.9497714658805555,0.0,4.36761332,1.7946915638607555,1.2027777777777777,0,2,0.41746853579646986
2024-01-06,2.0,2,2,0.0,805.6478955777777,748.2361,816.5359,20.7935793473728,0.0,0.0,0.0,0.0,1.0,1,1,0.0
2024-01-07,2.0,2,2,0.0,723.4841566847222,611.322449,806.2909,61.98680317732558,0.0,0.0,0.0,0.0,1.0,1,1,0.0
2024-01-08,2.0,2,2,0.0,739.7833189729166,590.8325,814.6125,85.14547411400132,0.0,0.0,0.0,0.0,1.0,1,1,0.0
2024-01-09,2.0,2,2,0.0,686.2528892624999,591.3428,816.88916,81.91408395566933,0.0,0.0,0.0,0.0,1.0,1,1,0.0
2024-01-10,1.9472222222222222,1,2,0.22366721918993643,665.1212741590277,557.4284,796.9095,82.84860068317076,0.0,0.0,0.0,0.0,1.0,1,1,0.0
